CUST_ID,BALANCE_CREDIT_RATIO,PURCHASES_CREDIT_RATIO,CASH_ADVANCE_CREDIT_RATIO,SPENDING_CREDIT_RATIO,ACTIVITY_SCORE,PRC_FULL_PAYMENT,CASH_ADVANCE_DOMINANCE,BALANCE_UTILIZATION,PURCHASES_FREQUENCY,CASH_ADVANCE_FREQUENCY,cluster,pseudo_label
C10001,0.04090074899959099,0.09539999999904601,0.0,0.09539999999904601,0.328283,0.0,0.0,0.04090074899959099,0.166667,0.0,0,0
C10002,0.4574953451422036,0.0,0.9204207832843995,0.9204207832843995,0.3863636666666667,0.222222,0.9999999999984479,0.4574953451422036,0.0,0.25,0,0
C10003,0.33268651493288975,0.10308933333319588,0.0,0.10308933333319588,0.6666666666666666,0.0,0.0,0.33268651493288975,1.0,0.0,0,0
C10004,0.22222273893303704,0.19986666666640018,0.027438402266630083,0.22730506893303026,0.2676766666666667,0.0,0.12071179228542928,0.22222273893303704,0.083333,0.083333,0,0
C10005,0.6814286124943215,0.013333333333222223,0.0,0.013333333333222223,0.361111,0.0,0.0,0.6814286124943215,0.083333,0.0,0,0
C10006,1.0054604172166364,0.7407111111069961,0.0,0.7407111111069961,0.5555556666666667,0.0,0.0,1.0054604172166364,0.666667,0.0,0,0
C10008,0.7928924969530745,0.18965217391221892,0.0,0.18965217391221892,0.6666666666666666,0.0,0.0,0.7928924969530745,1.0,0.0,0,0
C10009,0.14498949614265003,0.1230699999998242,0.0,0.1230699999998242,0.4444443333333334,0.0,0.0,0.14498949614265003,0.333333,0.0,0,0
C10010,0.01383872499998742,0.11650909090898498,0.0,0.11650909090898498,0.237374,0.0,0.0,0.01383872499998742,0.166667,0.0,0,0
C10011,1.0776041158243534,0.766766666660277,0.0,0.766766666660277,0.6666666666666666,0.0,0.0,1.0776041158243534,1.0,0.0,0,0
C10012,0.31539737199842305,0.7460899999962696,0.0,0.7460899999962696,0.35606066666666664,0.0,0.0,0.31539737199842305,0.25,0.0,0,0
C10013,0.5056428733316478,1.0726633333297577,0.0,1.0726633333297577,0.6666666666666666,0.25,0.0,0.5056428733316478,1.0,0.0,0,0
C10014,0.12289244919983613,0.28505733333295324,0.0,0.28505733333295324,0.5833333333333334,0.083333,0.0,0.12289244919983613,0.75,0.0,0,0
C10015,0.9242575779969192,0.0,0.11560379666628133,0.11560379666628133,0.361111,0.0,0.9999999999711658,0.9242575779969192,0.0,0.083333,0,0
C10016,0.860776653873924,0.2014624999997482,0.2876864083746404,0.48914890837438857,0.5555556666666667,0.0,0.5881366664600907,0.860776653873924,0.5,0.166667,0,0
C10018,0.016435795599934258,0.20759999999916962,0.0,0.20759999999916962,0.290404,0.25,0.0,0.016435795599934258,0.416667,0.0,0,0
C10019,0.1530055559998823,0.038796153846124004,0.0,0.038796153846124004,0.5555556666666667,0.0,0.0,0.1530055559998823,0.666667,0.0,0,0
C10023,0.07352346666625821,0.45327777777525957,0.0,0.45327777777525957,0.5454546666666666,0.0,0.0,0.07352346666625821,1.0,0.0,0,0
C10025,0.8947618698318421,0.0,0.13315831049977808,0.13315831049977808,0.45454533333333336,0.0,0.9999999999874836,0.8947618698318421,0.0,0.363636,0,0
C10026,0.05659389299981135,0.133199999999556,0.0,0.133199999999556,0.6666666666666666,0.0,0.0,0.05659389299981135,1.0,0.0,0,0
C10027,0.9505689647002908,0.059999999999647065,0.14402381470503517,0.20402381470468223,0.4722223333333333,0.0,0.7059166838408175,0.9505689647002908,0.166667,0.25,0,0
C10028,0.12569481699874305,0.2332799999976672,0.0,0.2332799999976672,0.6666666666666666,0.0,0.0,0.12569481699874305,1.0,0.0,0,0
C10029,0.6812251782850655,0.03686190476186965,0.2129662151426543,0.24982811990452397,0.8333333333333334,0.0,0.8524509379617918,0.6812251782850655,0.666667,0.833333,0,0
C10030,0.0031976072463721777,0.014492753623167402,0.0,0.014492753623167402,0.4722223333333333,0.0,0.0,0.0031976072463721777,0.416667,0.0,0,0
C10032,0.1937122206663438,0.22461833333295897,0.029302625833284496,0.25392095916624347,0.7222223333333333,0.0,0.11540057949256394,0.1937122206663438,1.0,0.166667,0,0
C10033,0.6412212441898655,0.03094761904758957,0.11328892885703495,0.14423654790462453,0.4166666666666667,0.0,0.7854384377751364,0.6412212441898655,0.083333,0.166667,0,0
C10034,0.10471704416579404,0.5306583333289112,0.0,0.5306583333289112,0.6388889999999999,0.3,0.0,0.10471704416579404,0.916667,0.0,0,0
C10036,0.9201948783282212,0.0,0.05514687055524918,0.05514687055524918,0.361111,0.0,0.999999999899259,0.9201948783282212,0.0,0.083333,0,0
C10038,0.8094961655983811,0.47610999999904785,0.3395321801993209,0.8156421801983688,0.6944443333333333,0.0,0.41627589700659207,0.8094961655983811,0.75,0.333333,0,0
C10039,0.696602015999226,0.02266666666664148,0.3250777624440832,0.3477444291107247,0.472222,0.0,0.9348180308002493,0.696602015999226,0.083333,0.333333,0,0
C10041,0.368582116664619,0.0,1.7405910744347746,1.7405910744347746,0.32575766666666667,0.166667,0.9999999999968082,0.368582116664619,0.0,0.25,0,0
C10043,0.2616299206657946,0.5088633333316371,0.7294732023309017,1.2383365356625389,0.580808,0.111111,0.5890750868774561,0.2616299206657946,0.583333,0.25,0,0
C10044,0.9121579551090842,0.04529333333323268,0.0,0.04529333333323268,0.361111,0.0,0.0,0.9121579551090842,0.083333,0.0,0,0
C10045,0.907161584660619,0.0,0.987724728660082,0.987724728660082,0.361111,0.0,0.9999999999932505,0.907161584660619,0.0,0.083333,0,0
C10046,0.6254053639992642,0.17946352941155355,0.0,0.17946352941155355,0.6666666666666666,0.0,0.0,0.6254053639992642,1.0,0.0,0,0
C10047,0.9342965358294405,0.18208333333257465,0.07693695499967944,0.2590202883322541,0.5,0.0,0.2970306129060909,0.9342965358294405,0.333333,0.166667,0,0
C10049,0.9309788659501643,0.0,0.47163647642744855,0.47163647642744855,0.5,0.0,0.9999999999949518,0.9309788659501643,0.0,0.5,0,0
C10051,0.21595245824946013,0.12687499999968282,0.17377428974956557,0.30064928974924837,0.4166666666666667,0.083333,0.5779966747736348,0.21595245824946013,0.166667,0.083333,0,0
C10053,0.4315554259982738,1.2431399999950274,0.0,1.2431399999950274,0.5555556666666667,0.0,0.0,0.4315554259982738,0.666667,0.0,0,0
C10054,0.44733745685586473,0.0,0.09181689571402338,0.09181689571402338,0.4166666666666667,0.0,0.9999999999688821,0.44733745685586473,0.0,0.25,0,0
C10055,0.15489138533281702,0.6597399999978009,0.660421834331132,1.3201618343289327,0.5555556666666667,0.2,0.5002582389189969,0.15489138533281702,0.666667,0.111111,0,0
C10056,0.006660516999933395,0.3099999999969,0.0,0.3099999999969,0.4343436666666667,0.0,0.0,0.006660516999933395,0.666667,0.0,0,0
C10057,0.21866599733296888,0.2139833333329767,0.0,0.2139833333329767,0.4166666666666667,0.0,0.0,0.21866599733296888,0.25,0.0,0,0
C10058,0.9063045364977343,0.07831749999980421,0.1671171857495822,0.24543468574938643,0.5555556666666667,0.0,0.6809028855787868,0.9063045364977343,0.25,0.416667,0,0
C10060,0.9927846912475181,0.0,0.05614387924985964,0.05614387924985964,0.39393933333333336,0.0,0.9999999999554715,0.9927846912475181,0.0,0.181818,0,0
C10061,0.9156506766651406,0.03816666666660306,0.1617652219997304,0.19993188866633343,0.5833333333333334,0.0,0.8091016549558638,0.9156506766651406,0.416667,0.333333,0,0
C10062,0.28909446661493987,0.017384615384588638,0.0,0.017384615384588638,0.29797999999999997,0.0,0.0,0.28909446661493987,0.166667,0.0,0,0
